id,name,user_id,followers_count,friends_count,verified,created_at,status_count
176,RAJEEV26011,1326185103999918081,18,56,0,"2020-11-10 15:29:39.000000",813
177,dwarfcoach,70908851,252,301,0,"2009-09-02 07:37:37.000000",15550
178,NYC_Aggie,2811489781,86,639,0,"2014-09-15 14:54:12.000000",562
179,Ashishcrick,1334455051322966017,24,63,0,"2020-12-03 11:11:21.000000",1252
180,nmandjiny13,1163033283078316033,135,319,0,"2019-08-18 10:22:08.000000",12315
181,SallyMed,57887024,1453,66,0,"2009-07-18 08:10:49.000000",32925
182,Dantromp_,2507994280,895,5000,0,"2014-04-25 09:07:30.000000",90364
183,The__Rewatcher,835664623084896256,13,184,0,"2017-02-26 01:35:46.000000",751
184,meta_hollywood,1456332267820032000,21807,11,0,"2021-11-04 18:47:29.000000",1339
185,WiImerarturo,68201219,463,641,0,"2009-08-23 18:17:17.000000",12419
186,pennypyro,36118898,990,981,0,"2009-04-28 17:05:37.000000",227017
187,Kenozoic,179743476,219,66,0,"2010-08-18 01:02:05.000000",4025
188,hayorqunleh,1010513729136586753,113,392,0,"2018-06-23 13:23:42.000000",1780
189,hopesfxngs,1344398829043535874,21,96,0,"2020-12-30 21:44:27.000000",1156
190,Lilelyy285,1482645014501019648,9,53,0,"2022-01-16 09:25:13.000000",490
191,Movielover455,1266397935039897602,7,322,0,"2020-05-29 15:56:19.000000",5330
192,TylorHyde,532833368,163,214,0,"2012-03-22 04:48:47.000000",1454
193,yourtechboi,1271054910700699648,35,94,0,"2020-06-11 12:21:33.000000",190
194,CeeAnnie82,1037474912544464897,11,33,0,"2018-09-05 22:57:49.000000",431
195,EliOlabode3,467996141,285,240,0,"2012-01-19 02:17:40.000000",23091
196,IamNo_33,311965400,435,828,0,"2011-06-06 11:06:51.000000",77678
197,treedoesstandup,911497982,603,136,0,"2012-10-29 01:32:54.000000",29771
198,Efreet69,5736542,365,309,0,"2007-05-03 10:33:09.000000",125503
199,FoxMacloud,68170959,278,414,0,"2009-08-23 15:50:17.000000",9794
200,teng_semb_fame,1540765049446203394,3,26,0,"2022-06-25 18:33:55.000000",259
201,vpiderman,1177585650,261,215,0,"2013-02-14 03:58:23.000000",9793
202,01Carol01,17178863,415,2187,0,"2008-11-05 02:57:48.000000",10972
203,HippieRonin1620,41895416,398,1309,0,"2009-05-22 20:36:57.000000",7194
204,ssikymkcus,62109927,742,985,0,"2009-08-01 20:20:07.000000",63124
205,abbasiam79,461379711,192,487,0,"2012-01-11 18:56:11.000000",8373
206,irinamllr_,1497923133076127751,2,23,0,"2022-02-27 13:14:51.000000",44
207,mhaithaca,7610582,3725,4933,0,"2007-07-20 14:43:47.000000",88011
208,Christopholus22,243016688,179,829,0,"2011-01-26 03:15:20.000000",21898
209,Maverick_078,1497466848459489280,6,169,0,"2022-02-26 07:01:58.000000",152
210,DanTresOmi,138619586,4575,2644,0,"2010-04-30 02:19:49.000000",586975
211,Meti_Major,985187990891741184,314,352,0,"2018-04-14 16:08:15.000000",3716
212,simonfromland,951040826343346176,44,37,0,"2018-01-10 10:39:37.000000",20
213,JoshErenberg,1850324184,1661,1948,1,"2013-09-10 04:36:18.000000",21096
214,thenickfanclub,1001093201330163713,813,2732,0,"2018-05-28 13:29:53.000000",160077
215,gerrellk43,154069805,255,874,0,"2010-06-10 08:30:21.000000",3244
216,JesseRose21,158613482,362,1122,0,"2010-06-23 04:21:26.000000",1699
217,1015z,299740389,1085,118,0,"2011-05-16 16:15:24.000000",15655
218,livininabikini,848803778098855936,721,658,0,"2017-04-03 07:46:05.000000",11656
219,amitkarn99,439201707,3336,4573,1,"2011-12-17 13:51:03.000000",7839
220,rizwankibaatein,1535519593451896833,5,138,0,"2022-06-11 07:09:44.000000",46
221,castiglionecosp,752732480541634560,163,1748,0,"2016-07-12 05:13:03.000000",4353
222,RealWLDFRE,3182221356,680,3736,0,"2015-05-02 01:26:27.000000",146275
223,Kelseyvv,121563724,316,376,0,"2010-03-09 22:21:23.000000",3402
224,Boogie10Bear,1506040095811379200,88,229,0,"2022-03-21 22:48:49.000000",1908
225,erik_whitfield7,1473305009450373124,2,34,0,"2021-12-21 14:51:36.000000",39
226,VijayShanka6,349068084,32,146,0,"2011-08-05 13:57:29.000000",1166
227,derkrautfresser,1310908419000463360,759,1546,0,"2020-09-29 11:45:05.000000",5029
228,hintsofsuSPENce,800417874384863232,58,298,0,"2016-11-20 19:17:47.000000",4631
229,_snowflakk,2346231680,274,377,0,"2014-02-16 04:32:00.000000",3300
230,_Vedant05,1296080160316223488,1215,930,0,"2020-08-19 13:42:55.000000",12772
231,Bookiew543,46135886,175,203,0,"2009-06-10 15:20:50.000000",19747
232,Odillsonm,908790821960511488,623,297,0,"2017-09-15 20:33:11.000000",26920
233,NRollyKN,1140461204,44,118,0,"2013-02-01 18:51:51.000000",299
234,PHENOMCAWS,3429831761,6767,209,0,"2015-08-18 13:01:24.000000",7145
235,TeddyKGB,1227032316,176,755,0,"2013-02-28 08:30:32.000000",32175
236,TheBoldRj,18910297,346,562,0,"2009-01-12 18:47:58.000000",9179
237,Sanchitvohra4,1268759583633227777,3,82,0,"2020-06-05 04:20:45.000000",46
238,FilmoTimes,1479843880044404736,99,1,0,"2022-01-08 15:54:25.000000",916
239,thatthoughtthat,1489349012633305092,0,23,0,"2022-02-03 21:25:07.000000",7
240,Rivernews736,1501774441478557698,309,72,0,"2022-03-10 04:18:35.000000",961
241,ankitkante,3167605645,10,25,0,"2015-04-22 15:04:28.000000",98
242,dhawalpj,338843562,172,365,0,"2011-07-20 05:22:35.000000",247
243,TamilMurugan8,1536984703504625664,37,840,0,"2022-06-15 08:11:57.000000",3275
244,glamrockfrankie,1324839252383981568,14,83,0,"2020-11-06 22:21:20.000000",4858
245,PasswordChannel,1525040664446001153,21,158,0,"2022-05-13 09:10:14.000000",555
246,CineHutOffl,1453594812561510400,667,27,0,"2021-10-28 05:30:03.000000",10430
247,KKJorwal1,1351160801198022659,23,186,0,"2021-01-18 13:33:50.000000",1064
248,oracle_jonesss,932714592010231813,31,487,0,"2017-11-20 20:57:42.000000",9942
249,shbtz,987346301082853376,394,606,0,"2018-04-20 15:04:36.000000",4133
250,ivicaprvanovic,38292773,1100,1774,0,"2009-05-06 22:23:02.000000",11369
251,wings13757,1387188293742186497,1,27,0,"2021-04-27 23:34:08.000000",19
252,josh_hood_419,451969689,68,1326,0,"2012-01-01 07:44:00.000000",2277
253,its_romanstudio,1363954627281043456,426,1540,0,"2021-02-22 20:51:54.000000",19096
254,PDanceMusic,44468988,2167,1890,0,"2009-06-03 21:58:59.000000",91084
255,Nicolas68859166,1525611824141434883,38,44,0,"2022-05-14 23:00:09.000000",3435
256,The_Dave_DeRose,21673495,58,163,0,"2009-02-23 17:49:46.000000",1756
257,CaptainUltraPr1,1232996235927117825,698,2711,0,"2020-02-27 11:50:06.000000",25996
258,hamzakh08145663,950002885567434752,617,5003,0,"2018-01-07 13:55:12.000000",33652
259,honeyweather,1225023732747395072,63,294,0,"2020-02-05 11:50:09.000000",1158
260,dgct2,52296067,9308,5016,0,"2009-06-30 03:59:47.000000",335334
261,IshaAnand4,2474922577,205,37,0,"2014-05-03 04:07:03.000000",178
262,RameshP_2,1283627709533315072,1009,978,0,"2020-07-16 05:01:23.000000",4596
263,AbrNoh,1097889528944226304,1,5,0,"2019-02-19 16:03:56.000000",12
264,mad_elynj,916827462247505920,10,15,0,"2017-10-08 00:47:55.000000",16
265,Mr_Doughty,187520872,196,385,0,"2010-09-06 13:28:55.000000",4001
266,MoviesTVPolls,923302767669710849,3326,3520,0,"2017-10-25 21:38:28.000000",5646
267,BobbySt66343667,1516768504057409538,50,149,0,"2022-04-20 13:19:49.000000",1656
268,HarleyBarnard4,1534913879255425026,18,0,0,"2022-06-09 15:02:53.000000",15
269,satans_niece,112372152,147,917,0,"2010-02-08 07:38:02.000000",30662
270,Keith_el,58850332,1998,4157,0,"2009-07-21 16:59:15.000000",41671
271,CuptoCupShow,1058374457088192512,1190,4781,0,"2018-11-02 15:05:08.000000",16811
272,starwolf_oakley,842651498,329,993,0,"2012-09-24 00:23:44.000000",45536
273,PrajeshKumar17,939423923321688065,14,177,0,"2017-12-09 09:18:11.000000",56
274,Hammi_jutt19,1458862641573732353,3,10,0,"2021-11-11 18:24:42.000000",69
275,Bdog196,1110654942757470208,99,184,0,"2019-03-26 21:29:08.000000",5994
276,thestarksider,1412400519348310017,54,220,0,"2021-07-06 13:18:34.000000",5775
277,NerdyLadd,1567190150,17,9,0,"2013-07-04 03:04:40.000000",21720
278,maverickn1nja,362363917,187,1024,0,"2011-08-26 08:24:14.000000",39302
279,Neil_Hodgkinson,51850581,143,145,0,"2009-06-28 21:31:28.000000",4192
280,Windegaard,236834560,526,1074,0,"2011-01-11 13:40:48.000000",14469
281,Winf0xtober,1542396174090776577,80,2046,0,"2022-06-30 06:35:00.000000",4278
282,SheSo_Precious,201533780,913,711,0,"2010-10-12 02:00:46.000000",22742
283,JuiceFilmsYT,1342854254093103105,42,48,0,"2020-12-26 15:26:51.000000",1021
284,prisspettigrew,1459502481604554756,2961,4666,0,"2021-11-13 12:45:01.000000",12006
285,_MarkyJames,1348953613,834,39,0,"2013-04-13 10:56:47.000000",4033
286,Triple_D_003,1539899866671099904,4,71,0,"2022-06-23 09:15:38.000000",203
287,Buddyguy_jojo,20495397,253,333,0,"2009-02-10 06:26:08.000000",12170
288,DMac33033,1389461632842092546,102,327,0,"2021-05-04 06:07:36.000000",309
289,Ojglo1,81921583,583,602,0,"2009-10-12 20:32:13.000000",18333
290,samrudh_david,736823705347579905,3664,11,0,"2016-05-29 07:37:15.000000",22556
291,kyleiop,2207593776,649,841,0,"2013-11-21 18:09:23.000000",19198
292,MoviePolls4U,983040963680571393,12017,11286,0,"2018-04-08 17:56:44.000000",28525
293,WesIsWright,1046242648015740929,67,462,0,"2018-09-30 03:37:40.000000",3713
294,AarontheWise,738139568076001280,1075,1195,0,"2016-06-01 22:46:01.000000",39924
295,sminkiie12,787052829328285701,4,75,0,"2016-10-14 22:09:52.000000",2343
296,Jimmy_Crypto87,1539778189,110,219,0,"2013-06-23 00:04:30.000000",897
297,Milkyy00,712989707,197,334,0,"2013-10-13 16:25:26.000000",5648
298,AnthonyH1981,1117571362992705536,1027,80,0,"2019-04-14 23:32:31.000000",134325
299,cloneposter,20895383,1429,495,0,"2009-02-15 05:43:28.000000",281704
300,gqland,149175595,890,1983,0,"2010-05-28 16:17:03.000000",88220
301,TheHashemOnline,1539256837568069632,174,355,0,"2022-06-21 14:40:26.000000",669
302,fanchettes,30542096,159,148,0,"2009-04-11 22:39:29.000000",6674
303,GBBowenford,3114038976,331,3892,0,"2015-03-29 01:31:44.000000",5071
304,_SirLaxAlot,178761733,1789,3916,0,"2010-08-15 16:36:39.000000",82532
305,Maryana29558374,1208454103321452549,221,4111,0,"2019-12-21 18:28:30.000000",29330
306,tsplan11,585145451,184,336,0,"2012-05-19 22:32:52.000000",21927
307,EverythingElese,465500175,230,434,0,"2012-01-16 12:25:32.000000",3209
308,Ashwath_2211,122551420,30,151,0,"2010-03-13 03:10:21.000000",194
309,forrest_summ,1499031031495671812,306,86,0,"2022-03-02 14:38:23.000000",7766
310,jd_de_la_torre,719821741300850689,183,3830,0,"2016-04-12 09:37:31.000000",1218
311,ShinyHatTalks,1343264661941202944,6,138,0,"2020-12-27 18:37:19.000000",750
312,aavishhkar,1448605890,14110,154,0,"2013-05-22 11:05:34.000000",22700
313,Lipox45,1542126426685509634,3,257,0,"2022-06-29 12:42:53.000000",645
314,_adrian_sean,74757836,822,625,0,"2009-09-16 15:33:00.000000",30390
315,AmericanAngel01,44139810,354,1338,0,"2009-06-02 15:34:55.000000",9581
316,Alphiitj,1516317780,315,738,0,"2013-06-14 12:44:51.000000",6457
317,Playmaka34,19941238,399,169,0,"2009-02-02 23:25:33.000000",20028
318,ginny_walker,586976294,2552,5004,0,"2012-05-21 23:43:24.000000",10727
